i,q,symbol,bin,qpsk4_score,carrier_rms
-0.7202372,-0.7388942,2,58,0.2815688,0.0330293
0.5601070,1.2213151,2,61,0.2645710,0.0337149
0.1068757,-0.0333211,2,62,0.1939015,0.0341952
0.4521051,0.2225277,2,64,0.1700183,0.0341875
-0.9065819,-0.7531820,2,67,0.2822345,0.0339150
-0.2073063,0.9018787,2,69,0.1695313,0.0322643
0.3479383,-0.3628445,2,72,0.1896206,0.0323346
-0.3654072,0.2504504,2,75,0.1675968,0.0343307
0.2297049,1.0213977,2,77,0.2244337,0.0336526
-0.0248290,-0.7820950,2,78,0.1891632,0.0333471
0.0483925,1.0729998,3,-79,0.2501132,0.0322619
-0.7516634,-0.7299798,3,-76,0.3398334,0.0327613
0.6067299,-1.0058041,3,-74,0.1941545,0.0344416
-1.2313129,-0.3330620,3,-72,0.2003226,0.0324508
-0.5773187,0.3023553,3,-71,0.2163529,0.0324261
-0.6702673,-0.4339395,3,-70,0.2217442,0.0311667
0.6908590,0.1397671,3,-68,0.1923675,0.0312710
0.6113820,-1.3382136,3,-67,0.1570395,0.0345046
0.0307911,0.5102245,3,-65,0.1866726,0.0345717
-0.8704598,1.1404437,3,-63,0.2275395,0.0348791
1.1590519,1.1737446,3,-62,0.2089079,0.0343295
1.4993256,0.4651730,3,-61,0.2655490,0.0322064
0.0185952,0.8772234,3,-58,0.2100309,0.0333572
0.4557059,0.5293360,3,-57,0.2247283,0.0340330
0.1491342,-0.1102016,3,-56,0.2210422,0.0332184
-1.2014815,-1.1618781,3,-54,0.1823994,0.0329907
-0.8998919,-0.9349996,3,-49,0.1672389,0.0347945
0.0784230,-0.1379849,3,-48,0.2353979,0.0343193
0.8894643,0.0051602,3,-47,0.2414223,0.0320335
-0.7740245,0.9194245,3,-46,0.1879204,0.0355634
-0.3929347,1.9080013,3,-44,0.1774834,0.0316402
-0.6694494,0.1361787,3,-43,0.1669991,0.0335626
-0.4698962,0.7635508,3,-42,0.2398450,0.0326647
0.9721255,0.2419955,3,-40,0.2284884,0.0344049
-0.4394261,-0.3440905,3,-39,0.2268003,0.0354010
-0.1646901,-0.0620374,3,-38,0.2202643,0.0346560
1.0075638,-1.5013452,3,-36,0.2231240,0.0331801
0.5274278,-0.6627213,3,-33,0.1589296,0.0329247
-0.1158989,-0.7859994,3,-32,0.2391770,0.0345359
-0.3514295,-0.7477389,3,-31,0.2330564,0.0354402
0.4555389,-0.6436961,3,-27,0.2107448,0.0322772
-0.3196000,-1.1552927,3,-25,0.1999021,0.0335838
0.0341247,0.7608094,3,-24,0.1679632,0.0348238
1.4894786,0.4655224,3,-22,0.2049773,0.0350560
0.2098600,0.8080116,3,-20,0.1728152,0.0345012
-0.6293918,0.2609493,3,-18,0.2527941,0.0328072
-0.7591445,-0.3074375,3,-16,0.3097780,0.0317280
0.8355102,-1.3523999,3,-14,0.1747163,0.0338224
0.2749459,2.1740823,3,-13,0.1633070,0.0345562
1.6662192,-0.2323685,3,-12,0.1729274,0.0357050
-0.9419762,0.5319231,3,-9,0.1710930,0.0326216
0.3870294,-0.1066371,3,-5,0.1951635,0.0333549
-0.8529860,-0.8189765,3,-4,0.2042495,0.0343066
0.1475214,-0.1425309,3,1,0.2247535,0.0338508
0.5665047,0.2841114,3,2,0.2939762,0.0348152
-0.0904234,0.8241489,3,3,0.1737424,0.0339353
1.8482772,0.8888981,3,4,0.2594089,0.0346524
-0.5208867,1.2115835,3,6,0.1565750,0.0334332
0.0050340,-0.9826232,3,7,0.1737236,0.0326045
0.1083695,-0.8682295,3,9,0.1678294,0.0326805
-0.4997221,-0.8938457,3,10,0.2213898,0.0344193
-0.7170236,0.3267097,3,12,0.2120367,0.0333326
0.4669978,0.8512104,3,13,0.1577619,0.0357245
0.8158870,-0.7790121,3,14,0.1939455,0.0349792
