channel_snr_db,noise_bandwidth_hz,symbol_rate,symbol_rate_hz,esn0_db,ebn0_db,fec,offered_packets,correct_packets,missed_or_bad_packets,packet_error_percent
2.20,333000,150k,150000,5.66,2.65,3/4,240,222,18,7.50
2.40,333000,150k,150000,5.86,2.85,3/4,240,225,15,6.25
2.60,333000,150k,150000,6.06,3.05,3/4,240,233,7,2.92
2.80,333000,150k,150000,6.26,3.25,3/4,240,233,7,2.92
3.00,333000,150k,150000,6.46,3.45,3/4,240,239,1,0.42
3.20,333000,150k,150000,6.66,3.65,3/4,240,238,2,0.83
3.40,333000,150k,150000,6.86,3.85,3/4,240,240,0,0.00
3.60,333000,150k,150000,7.06,4.05,3/4,240,240,0,0.00
3.80,333000,150k,150000,7.26,4.25,3/4,240,240,0,0.00
4.00,333000,150k,150000,7.46,4.45,3/4,240,240,0,0.00
4.20,333000,150k,150000,7.66,4.65,3/4,240,240,0,0.00
4.40,333000,150k,150000,7.86,4.85,3/4,240,240,0,0.00
4.60,333000,150k,150000,8.06,5.05,3/4,240,240,0,0.00
4.80,333000,150k,150000,8.26,5.25,3/4,240,240,0,0.00
5.00,333000,150k,150000,8.46,5.45,3/4,240,240,0,0.00
5.20,333000,150k,150000,8.66,5.65,3/4,240,240,0,0.00
5.40,333000,150k,150000,8.86,5.85,3/4,240,240,0,0.00
5.60,333000,150k,150000,9.06,6.05,3/4,240,240,0,0.00
5.80,333000,150k,150000,9.26,6.25,3/4,240,240,0,0.00
6.00,333000,150k,150000,9.46,6.45,3/4,240,240,0,0.00
6.20,333000,150k,150000,9.66,6.65,3/4,240,240,0,0.00
6.40,333000,150k,150000,9.86,6.85,3/4,240,240,0,0.00
6.60,333000,150k,150000,10.06,7.05,3/4,240,240,0,0.00
6.80,333000,150k,150000,10.26,7.25,3/4,240,240,0,0.00
7.00,333000,150k,150000,10.46,7.45,3/4,240,240,0,0.00
7.20,333000,150k,150000,10.66,7.65,3/4,240,240,0,0.00
7.40,333000,150k,150000,10.86,7.85,3/4,240,240,0,0.00
7.60,333000,150k,150000,11.06,8.05,3/4,240,240,0,0.00
7.80,333000,150k,150000,11.26,8.25,3/4,240,240,0,0.00
8.00,333000,150k,150000,11.46,8.45,3/4,240,240,0,0.00
