i,q,symbol,bin,qpsk4_score,carrier_rms
-1.0474961,0.1663923,6,-66,0.1709145,0.0338973
-0.8544767,0.0635088,6,-61,0.2245609,0.0323560
-0.0356400,-0.0352004,6,-58,0.2650572,0.0334277
0.6283610,0.6851138,6,-57,0.2069488,0.0340260
0.2174919,0.0772762,6,-56,0.2391335,0.0331709
0.0877613,-0.5556438,6,-55,0.1690526,0.0327313
0.0397911,-0.4566432,6,-52,0.1736426,0.0335142
-0.0313276,1.1582934,6,-50,0.2732438,0.0346435
0.7264885,0.3268997,6,-48,0.3119991,0.0344166
-0.4108093,-0.2935747,6,-46,0.3614561,0.0354192
0.5134438,1.7197020,6,-45,0.2473981,0.0341379
-0.3832963,0.6019108,6,-44,0.1951639,0.0316322
-0.4505415,-0.3684969,6,-43,0.1960933,0.0336191
-0.3769818,0.2263045,6,-42,0.2729034,0.0325492
-0.1696148,-0.1889749,6,-41,0.1570884,0.0341926
